"id","postcode","suburb","state","latitude","longitude"
"5585","3000","Melbourne","VIC","-37.810","144.970"
"5587","3002","East Melbourne","VIC","-37.820","144.990"
"5588","3003","West Melbourne","VIC","-37.810","144.940"
"5591","3005","World Trade Centre","VIC","-37.820","144.950"
"5592","3006","South Wharf","VIC","-37.820","144.970"
"5594","3008","Docklands","VIC","-37.810","144.950"
"5595","3010","University Of Melbourne","VIC","-37.800","144.960"
"5596","3011","Footscray","VIC","-37.800","144.900"
"5599","3012","Brooklyn","VIC","-37.810","144.850"
"5605","3013","Yarraville","VIC","-37.820","144.890"
"5607","3015","Newport","VIC","-37.840","144.880"
"5610","3016","Williamstown","VIC","-37.860","144.900"
"5612","3018","Altona","VIC","-37.870","144.830"
"5614","3019","Braybrook","VIC","-37.780","144.860"
"5617","3020","Albion","VIC","-37.780","144.820"
"5626","3022","Ardeer","VIC","-37.780","144.800"
"5638","3025","Altona East","VIC","-37.840","144.860"
"5641","3026","Laverton North","VIC","-37.840","144.800"
"5655","3031","Flemington","VIC","-37.790","144.930"
"5657","3032","Ascot Vale","VIC","-37.780","144.920"
"5674","3039","Moonee Ponds","VIC","-37.770","144.920"
"5675","3040","Aberfeldie","VIC","-37.760","144.900"
"5701","3050","Royal Melbourne Hospital","VIC","-37.800","144.960"
"5702","3051","Hotham Hill","VIC","-37.910","145.060"
"5704","3052","Melbourne University","VIC","-37.800","144.960"
"5706","3053","Carlton","VIC","-37.780","144.970"
"5708","3054","Carlton North","VIC","-37.780","144.970"
"5710","3055","Brunswick South","VIC","-37.770","144.940"
"5714","3056","Brunswick","VIC","-37.760","144.940"
"5717","3057","Brunswick East","VIC","-37.760","144.980"
"5726","3060","Fawkner","VIC","-37.760","144.900"
"5738","3065","Fitzroy","VIC","-37.800","144.980"
"5739","3066","Collingwood","VIC","-37.800","144.980"
"5741","3067","Abbotsford","VIC","-37.800","145.000"
"5742","3068","Clifton Hill","VIC","-37.790","144.990"
"5744","3070","Northcote","VIC","-37.770","145.000"
"5746","3071","Thornbury","VIC","-37.760","145.000"
"5764","3078","Alphington","VIC","-37.780","145.030"
"5766","3079","Ivanhoe","VIC","-37.770","145.040"
"5769","3081","Bellfield","VIC","-37.750","145.050"
"5808","3101","Cotham","VIC","-37.810","145.040"
"5810","3102","Kew East","VIC","-37.800","145.050"
"5811","3103","Balwyn","VIC","-37.810","145.080"
"5813","3104","Balwyn North","VIC","-37.790","145.070"
"5815","3105","Bulleen","VIC","-37.770","145.080"
"5817","3106","Templestowe","VIC","-37.770","145.120"
"5818","3107","Templestowe Lower","VIC","-37.760","145.100"
"5819","3108","Doncaster","VIC","-37.780","145.120"
"5831","3121","Burnley","VIC","-37.830","145.010"
"5838","3122","Auburn South","VIC","-37.840","145.050"
"5843","3123","Auburn","VIC","-37.830","145.040"
"5845","3124","Camberwell","VIC","-37.820","145.060"
"5851","3125","Bennettswood","VIC","-37.840","145.120"
"5854","3126","Camberwell East","VIC","-37.840","145.090"
"5856","3127","Mont Albert","VIC","-37.820","145.100"
"5859","3128","Box Hill","VIC","-37.820","145.120"
"5864","3129","Box Hill North","VIC","-37.800","145.130"
"5867","3130","Blackburn","VIC","-37.820","145.150"
"5908","3142","Hawksburn","VIC","-37.840","145.000"
"5910","3143","Armadale","VIC","-37.860","145.020"
"5912","3144","Kooyong","VIC","-37.840","145.030"
"5915","3145","Caulfield East","VIC","-37.880","145.040"
"5921","3146","Glen Iris","VIC","-37.850","145.070"
"5922","3147","Ashburton","VIC","-37.860","145.080"
"5924","3148","Chadstone","VIC","-37.890","145.080"
"5928","3149","Mount Waverley","VIC","-37.880","145.130"
"5934","3151","Burwood East","VIC","-37.860","145.140"
"5958","3162","Caulfield","VIC","-37.880","145.030"
"5961","3163","Booran Road Po","VIC","-37.890","145.060"
"5966","3165","Bentleigh East","VIC","-37.930","145.060"
"5968","3166","Hughesdale","VIC","-37.900","145.080"
"5972","3167","Oakleigh South","VIC","-37.930","145.100"
"5973","3168","Clayton","VIC","-37.930","145.120"
"5975","3169","Clarinda","VIC","-37.940","145.100"
"5977","3170","Mulgrave","VIC","-37.870","145.100"
"6000","3181","Prahran","VIC","-37.850","144.990"
"6003","3182","St Kilda","VIC","-37.870","144.980"
"6006","3183","Balaclava","VIC","-37.870","145.000"
"6008","3184","Brighton Road","VIC","-37.880","145.000"
"6010","3185","Elsternwick","VIC","-37.880","145.000"
"6013","3186","Brighton","VIC","-37.910","144.990"
"6017","3187","Brighton East","VIC","-37.900","145.000"
"6019","3188","Hampton","VIC","-37.930","145.030"
"6022","3189","Moorabbin","VIC","-37.930","145.040"
"6025","3190","Highett","VIC","-37.950","145.030"
"6026","3191","Sandringham","VIC","-37.950","145.010"
"6063","3204","Bentleigh","VIC","-37.920","145.040"
"6067","3205","South Melbourne","VIC","-37.930","145.030"
"6069","3206","Albert Park","VIC","-37.840","144.960"
"6071","3207","Garden City","VIC","-37.830","144.960"
"6662","3353","Ballarat","VIC","-37.780","144.840"
"8148","3800","Monash University","VIC","-37.910","145.130"
"16686","8004","St Kilda Road","VIC","-37.840","144.980"
"16688","8006","Abeckett Street","VIC","-37.810","144.960"
"16691","8009","Flinders Lane","VIC","-37.820","144.960"
"16693","8011","Little Lonsdale Street","VIC","-37.810","144.960"
"16720","8873","Port Melbourne","VIC","-37.850","144.890"
